team,total match,win,draw,loss,point,last 5 match
MANCHESTER CITY,38,32,4,2,100,W,W,D,W,W
MANCHESTER UNITED,38,25,6,7,81,W,D,L,W,W
TOTTENHAM HOTSPUR,38,23,8,7,77,W,W,L,W,D
LIVERPOOL,38,21,12,5,75,W,L,D,D,W
CHELSEA,38,21,7,10,70,L,D,W,W,W
ARSENAL,38,19,6,13,63,W,L,W,L,W
BURNLEY,38,14,12,12,54,L,L,D,D,L
EVERTON,38,13,10,15,49,L,D,W,W,D
LEICESTER CITY,38,12,11,15,47,L,W,L,L,D
NEWCASTLE UNITED,38,12,8,18,44,W,L,L,L,L
CRYSTAL PALACE,38,11,11,16,44,W,W,W,D,W
AFC BOURNEMOUTH,38,11,11,16,44,W,W,L,L,L
WEST HAM UNITED,38,10,12,16,42,W,D,W,L,L
WATFORD,38,11,8,19,41,L,W,L,D,L
BRIGHTON & HOVE ALBION,38,9,13,16,40,L,L,W,D,D
HUDDERSFIELD TOWN,38,9,10,19,37,L,D,D,L,W
SOUTHAMPTON,38,7,15,16,36,L,W,D,W,D
SWANSEA CITY,38,8,9,21,33,L,L,L,L,L
STOKE CITY,38,7,12,19,33,W,L,D,D,D
WEST BROMWICH ALBIONWEST,38,6,13,19,31,L,W,W,D,W


W
W
D
W
W,W
D
L
W
W,W
W
L
W
D,W
L
D
D
W,L
D
W
W
W,W
L
W
L
W,L
L
D
D
L,L
D
W
W
D,L
W
L
L
D,W
L
L
L
L,W
W
W
D
W,W
W
L
L
L,W
D
W
L
L,L
W
L
D
L,L
L
W
D
D,L
D
D
L
W,L
W
D
W
D,L
L
L
L
L,W
L
D
D
D,L
W
W
D
W,W
W
D
W
W,W
D
L
W
W,W
W
L
W
D,W
L
D
D
W,L
D
W
W
W,W
L
W
L
W,L
L
D
D
L,L
D
W
W
D,L
W
L
L
D,W
L
L
L
L,W
W
W
D
W,W
W
L
L
L,W
D
W
L
L,L
W
L
D
L,L
L
W
D
D,L
D
D
L
W,L
W
D
W
D,L
L
L
L
L,W
L
D
D
D,L
W
W
D
W,[W,W,D,W,W]
[W,D,L,W,W]
[W,W,L,W,D]
[W,L,D,D,W]
[L,D,W,W,W]
[W,L,W,L,W]
[L,L,D,D,L]
[L,D,W,W,D]
[L,W,L,L,D]
[W,L,L,L,L]
[W,W,W,D,W]
[W,W,L,L,L]
[W,D,W,L,L]
[L,W,L,D,L]
[L,L,W,D,D]
[L,D,D,L,W]
[L,W,D,W,D]
[L,L,L,L,L]
[W,L,D,D,D]
[L,W,W,D,W]
